2023-12-06 00:34:11,544 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:16,545 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:21,547 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:22,394 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: stop_status
2023-12-06 00:34:22,395 DEBUG   SenderThread:1272 [sender.py:send_request():407] send_request: stop_status
2023-12-06 00:34:22,396 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-06 00:34:27,542 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:32,544 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:37,386 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: stop_status
2023-12-06 00:34:37,386 DEBUG   SenderThread:1272 [sender.py:send_request():407] send_request: stop_status
2023-12-06 00:34:37,397 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-06 00:34:37,563 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:38,185 INFO    Thread-16 :1272 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\nmone\OneDrive\Desktop\CS\soccer-twos-working\wandb\run-20231206_003406-4n5fx02k\files\config.yaml
2023-12-06 00:34:42,683 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:47,685 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:52,395 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: stop_status
2023-12-06 00:34:52,395 DEBUG   SenderThread:1272 [sender.py:send_request():407] send_request: stop_status
2023-12-06 00:34:52,399 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-06 00:34:53,485 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:34:58,487 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:03,489 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:07,288 DEBUG   SystemMonitor:1272 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2023-12-06 00:35:07,288 DEBUG   SenderThread:1272 [sender.py:send():380] send: stats
2023-12-06 00:35:07,386 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-06 00:35:07,392 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: stop_status
2023-12-06 00:35:07,393 DEBUG   SenderThread:1272 [sender.py:send_request():407] send_request: stop_status
2023-12-06 00:35:08,501 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:13,506 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:18,512 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:22,387 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-06 00:35:22,392 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: stop_status
2023-12-06 00:35:22,392 DEBUG   SenderThread:1272 [sender.py:send_request():407] send_request: stop_status
2023-12-06 00:35:23,576 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:28,579 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:33,581 DEBUG   HandlerThread:1272 [handler.py:handle_request():146] handle_request: status_report
2023-12-06 00:35:37,289 DEBUG   SenderThread:1272 [sender.py:send():380] send: stats
